Instance,Nodes,Edges,Terminals,Valid Solution,Best cost,Num edges cut,Last update iteration,Last update time,Final iteration,Final time,seed
N5120K320M4N2,5120,21803,480,True,72673,0,1297,600.397,1297,600.397,1694354
N640K80M4N1,640,2615,80,True,8464,0,9006,471.626,11472,600.045,1694354
N640K80M4N2,640,2636,80,True,8305,0,379,19.3384,11740,600.033,1694354
N640K80M4N3,640,2623,80,True,8492,0,11091,555.113,11994,600.012,1694354
N640K80M4N4,640,2624,80,True,8362,0,1623,83.0236,11707,600.051,1694354
N640K80M4N5,640,2612,80,True,8444,0,10930,552.501,11869,600.011,1694354
N1280K80M4N1,1280,5419,120,True,17518,0,5032,520.107,5804,600.096,1884283
N1280K80M4N2,1280,5405,120,True,17523,0,2899,297.532,5838,600.048,1884283
N1280K80M4N3,1280,5433,120,True,18214,0,1250,132.244,5656,600.005,1884283
N1280K80M4N4,1280,5438,120,True,17970,0,1231,124.406,5909,600.095,1884283
N1280K80M4N5,1280,5467,120,True,18418,0,4381,447.903,5868,600.055,1884283
N160K20M4N1,160,649,20,True,2152,0,137,1.86805,45483,600.008,1884283
N160K20M4N2,160,651,20,True,2041,0,1885,25.6118,44263,600.005,1884283
N160K20M4N3,160,653,20,True,1875,0,8107,113.584,43244,600.002,1884283
N160K20M4N4,160,644,20,True,2011,0,252,3.36012,45709,600.011,1884283
N160K20M4N5,160,660,20,True,2086,0,117,1.57278,44632,600.004,1884283
N2560K160M4N1,2560,10879,240,True,35758,0,1996,438.85,2726,600.071,1884283
N2560K160M4N2,2560,10894,240,True,35946,0,1858,412.535,2699,600.187,1884283
N2560K160M4N3,2560,10877,240,True,35887,0,2756,597.691,2767,600.077,1884283
N2560K160M4N4,2560,10873,240,True,36466,0,2754,589.11,2805,600.076,1884283
N2560K160M4N5,2560,10917,240,True,37840,0,2590,555.514,2798,600.196,1884283
N320K40M4N1,320,1309,40,True,4185,0,9693,235.713,24936,600.005,1884283
N320K40M4N2,320,1307,40,True,4018,0,3364,86.2111,23334,600.023,1884283
N320K40M4N3,320,1311,40,True,4475,0,11605,294.098,23647,600.013,1884283
N320K40M4N4,320,1306,40,True,3937,0,2467,61.8313,23756,600.012,1884283
N320K40M4N5,320,1311,40,True,4352,0,625,16.5779,22828,600.02,1884283
N5120K320M4N1,5120,21775,480,True,71389,0,1290,597.393,1296,600.179,1884283
N5120K320M4N2,5120,21803,480,True,72373,0,1274,590.238,1295,600.034,1884283
N640K80M4N1,640,2615,80,True,8463,0,10119,528.229,11492,600.003,1884283
N640K80M4N2,640,2636,80,True,8302,0,8603,439.274,11735,600.001,1884283
